Program,Semester,Course
Manajemen (S1),1,Agama dan Etika
Manajemen (S1),1,Bahasa Indonesia
Manajemen (S1),1,Etiquette & Communication Skill
Manajemen (S1),1,Prinsip Akuntansi
Manajemen (S1),1,Pengantar Bisnis dan Manajemen
Manajemen (S1),1,Matematika Ekonomi & Bisnis
Manajemen (S1),2,Pancasila dan Kewarganegaraan
Manajemen (S1),2,Bahasa Inggris
Manajemen (S1),2,Pengantar Teknologi Informasi
Manajemen (S1),2,Manajemen Pemasaran
Manajemen (S1),2,Ekonomi Mikro
Manajemen (S1),2,Statistik 1
Manajemen (S1),3,Entrepreneurship
Manajemen (S1),3,Statistika 2
Manajemen (S1),3,Effective Thinking
Manajemen (S1),3,Manajemen Keuangan
Manajemen (S1),3,Manajemen Sumber Daya Manusia
Manajemen (S1),4,Penganggaran Perusahaan
Manajemen (S1),4,Ekonomi Makro
Manajemen (S1),4,Manajemen Strategik
Manajemen (S1),4,Seni Bisnis Ritel
Manajemen (S1),4,Agile Leadership
Manajemen (S1),4,Store Operation & Location
Manajemen (S1),5,Metode Penelitian
Manajemen (S1),5,Ekonomi Manajerial
Manajemen (S1),6,(Mata Kuliah Pilihan / Peminatan)
Manajemen (S1),7,Merger dan Akuisisi (Pilihan)
Manajemen (S1),7,Manajemen Penjualan (Pilihan)
Manajemen (S1),7,Manajemen Lintas Budaya (Pilihan)
Manajemen (S1),7,Analisis Data E‑Commerce (Pilihan)
Manajemen (S1),7,Basic Chinese Listening and Conversation 1 (Pilihan)
Manajemen (S1),7,English for Public Speaking (Pilihan)
Manajemen (S1),7,Manajemen Stres dan Kecemasan (Pilihan)
Manajemen (S1),8,Skripsi / Final Project
Akuntansi (S1),1,Agama & Etika
Akuntansi (S1),1,Bahasa Indonesia
Akuntansi (S1),1,Etiquette & Communication Skill
Akuntansi (S1),1,Prinsip Akuntansi 1
Akuntansi (S1),1,Pengantar Manajemen
Akuntansi (S1),1,Economics
Akuntansi (S1),2,Pancasila & Kewarganegaraan
Akuntansi (S1),2,Bahasa Inggris
Akuntansi (S1),2,Pengantar Teknologi Informasi
Akuntansi (S1),2,Prinsip Akuntansi 2
Akuntansi (S1),2,Perpajakan
Akuntansi (S1),2,Akuntansi Biaya
Akuntansi (S1),3,Entrepreneurship
Akuntansi (S1),3,Akuntansi Keuangan Menengah 1
Akuntansi (S1),3,Akuntansi Manajemen
Akuntansi (S1),3,Pemeriksaan Akuntansi 1
Akuntansi (S1),3,Akuntansi Perpajakan
Akuntansi (S1),4,Statistika
Akuntansi (S1),4,Akuntansi Keuangan Menengah 2
Akuntansi (S1),4,Pemeriksaan Akuntansi 2
Akuntansi (S1),4,Sistem Informasi Akuntansi & Analisis Data
Akuntansi (S1),5,Akuntansi Keuangan Lanjutan 1
Akuntansi (S1),5,Metode Penelitian Akuntansi
Akuntansi (S1),5,Digital Akuntansi
Akuntansi (S1),6,Akuntansi Keuangan Lanjutan 2
Akuntansi (S1),6,Teori Akuntansi
Akuntansi (S1),6,(Peminatan & Mata Pilihan)
Akuntansi (S1),7,"Magang Reguler / MBKM or Mata Pilihan (Seminar Akuntansi Keberlanjutan, Akuntansi Logistik, Hukum Bisnis, Behavioral Accounting, Manajemen Layanan Sistem Informasi, Basic Chinese Listening & Conversation 1, Manajemen Stres dan Kecemasan, English for Public Speaking)"
Akuntansi (S1),8,Skripsi / Final Project
Informatika (S1),1,Bahasa Inggris 1
Informatika (S1),1,Kalkulus
Informatika (S1),1,Algoritma & Pemrograman
Informatika (S1),1,Statistik & Probabilitas
Informatika (S1),1,Matematika Diskrit
Informatika (S1),1,Agama & Etika
Informatika (S1),2,Bahasa Inggris 2
Informatika (S1),2,Pancasila & Kewarganegaraan
Informatika (S1),2,Pengantar Teknologi Informasi
Informatika (S1),2,Pemrograman Berorientasi Objek
Informatika (S1),2,Algoritma Lanjut
Informatika (S1),2,Struktur Data
Informatika (S1),2,Aljabar Linier
Informatika (S1),3,Rekayasa Perangkat Lunak
Informatika (S1),3,Etiquette & Communication Skills
Informatika (S1),3,Bahasa Indonesia
Informatika (S1),3,Metode Numerik
Informatika (S1),3,Sistem Operasi
Informatika (S1),3,Sistem Basis Data
Informatika (S1),4,Entrepreneurship
Informatika (S1),4,Komunikasi Data
Informatika (S1),4,Interaksi Manusia & Komputer
Informatika (S1),4,Kecerdasan Buatan
Informatika (S1),4,Komputer Grafik
Informatika (S1),4,IT Professional
Informatika (S1),5,Arsitektur & Organisasi Komputer
Informatika (S1),5,Pemrograman Web dan Mobile
Informatika (S1),5,Jaringan Komputer 1
Informatika (S1),5,Mobile & Cloud Computing (Peminatan AI)
Informatika (S1),5,Blockchain Algorithm (Peminatan AI)
Informatika (S1),5,Teknologi Nirkabel (Peminatan Network Security)
Informatika (S1),5,Cyber Security (Peminatan Network Security)
Informatika (S1),6,Metode Riset TI
Informatika (S1),6,Mata Kuliah Pilihan 1
Informatika (S1),6,Mata Kuliah Pilihan Lintas Prodi 1
Informatika (S1),6,Mata Kuliah Pilihan Lintas Prodi 2
Informatika (S1),6,Machine Learning (Peminatan AI)
Informatika (S1),6,Pengolahan Citra Digital (Peminatan AI)
Informatika (S1),6,Jaringan Komputer 2 (Peminatan Network Security)
Informatika (S1),6,Cyber Security Forensics (Peminatan Network Security)
Informatika (S1),7,Mata Kuliah Pilihan 2
Informatika (S1),7,Mata Kuliah Pilihan 3
Informatika (S1),7,Mata Kuliah Pilihan Lintas Prodi 3
Informatika (S1),7,Mata Kuliah Pilihan Lintas Prodi 4
Informatika (S1),7,Mata Kuliah Pilihan Lintas Prodi 5
Informatika (S1),8,Skripsi
Desain Komunikasi Visual (DKV) (S1),1,Pancasila & Kewarganegaraan
Desain Komunikasi Visual (DKV) (S1),1,Bahasa Inggris
Desain Komunikasi Visual (DKV) (S1),1,Pengantar Teknologi Informasi
Desain Komunikasi Visual (DKV) (S1),1,Sejarah Desain dan Teknologi
Desain Komunikasi Visual (DKV) (S1),1,Pengantar Desain 2D
Desain Komunikasi Visual (DKV) (S1),1,Gambar
Desain Komunikasi Visual (DKV) (S1),1,Bahasa Visual
Desain Komunikasi Visual (DKV) (S1),2,Agama & Etika
Desain Komunikasi Visual (DKV) (S1),2,Bahasa Indonesia
Desain Komunikasi Visual (DKV) (S1),2,Etiquette and Communication Skills
Desain Komunikasi Visual (DKV) (S1),2,Pengantar Desain 3D
Desain Komunikasi Visual (DKV) (S1),2,Digital Imaging
Desain Komunikasi Visual (DKV) (S1),2,Desain Tipografi
Desain Komunikasi Visual (DKV) (S1),3,Pengantar Kecerdasan Artifisial
Desain Komunikasi Visual (DKV) (S1),3,Design Ethics
Desain Komunikasi Visual (DKV) (S1),3,Ilustrasi
Desain Komunikasi Visual (DKV) (S1),3,Digital Painting
Desain Komunikasi Visual (DKV) (S1),3,Layout and Graphic
Desain Komunikasi Visual (DKV) (S1),3,Media Rekam
Desain Komunikasi Visual (DKV) (S1),4,Entrepreneurship
Desain Komunikasi Visual (DKV) (S1),4,(Peminatan & Mata Khusus)
Desain Komunikasi Visual (DKV) (S1),5,Transmedia Storytelling
Desain Komunikasi Visual (DKV) (S1),5,UI/UX Design
Desain Komunikasi Visual (DKV) (S1),5,Conceptual Art
Desain Komunikasi Visual (DKV) (S1),6,Mata Kuliah Pilihan 1
Desain Komunikasi Visual (DKV) (S1),6,Mata Kuliah Pilihan 2
Desain Komunikasi Visual (DKV) (S1),6,Mata Kuliah Pilihan 3
Desain Komunikasi Visual (DKV) (S1),6,Brand & Packaging Design (Peminatan)
